auditRecordId,recordedAt,actorIdentity,actorAttribution,action,objectKind,objectId,version,outcome,snapshotId,detailJson
4dba68bb0ccf49a08e0acaf4f2996cd8,2026-09-19T13:38:55.5362303+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,TASK_TYPE_STATION_BINDING_SET_VERSION_LOADED,PublicStationBinding,map-25,1,Succeeded,ada46c4ddb524718a553f85032802cb2,"{""contentSha256"":""21b4b7f663331518dd4e4453d29c051dcaa7ed08dfcc6f0ac9360d2a7e97c636"",""frozenAt"":""2026-09-19T13:38:55.5362303+00:00""}"
662ad0f7615a4e38a15aea5a6f4ed4b1,2026-09-19T13:38:55.5362303+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,TASK_TYPE_STATION_RULE_VERSION_LOADED,TaskTypeStationRule,task-type-station-rules,1,Succeeded,9e7243454f6540798e528237f9504adb,"{""contentSha256"":""3e8211092cce6f8a76208a7c972c2e87eba697cba2c1fa31e7fb34ca42951100"",""frozenAt"":""2026-09-19T13:38:55.5362303+00:00""}"
2b0ccea909244759996c88903903160a,2026-09-19T21:38:58.2809261+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_TEMPLATE_VERSION_PUBLISHED,SlotTemplate,8005-standard-slot,1,Succeeded,e95f4dcf9bcf4b3d8375397e4c802b4d,"{""contentSha256"":""0c0ae6b4594545f4024ba0aff8e43e812c3ac5718532101a1a89ad9d6a398add"",""frozenAt"":""2026-09-19T21:38:58.2809261+08:00""}"
e0fbbe91e49a4146a4feeb0045411f69,2026-09-19T21:38:58.2809261+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_MODEL_VERSION_PUBLISHED,SlotModelVersion,8005-eight-slot,1,Succeeded,6aa69c7063b84d51b254ff4d8bd25f94,"{""contentSha256"":""649195eb4376dc54c74d1603b5fd14f6149e5f2c3cefda41e71952737840035f"",""frozenAt"":""2026-09-19T21:38:58.2809261+08:00""}"
a5add9b0d8d445f0b47e705cc61e8570,2026-09-19T21:38:59.9737871+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_IO_BINDING_VERSION_PUBLISHED,ActiveSlotConfiguration,AGV-L2-001:bdcfddafc12d4c73a37589c9e1a2ed69,1,Succeeded,8a03a576f41c4a87bed06928de6eed6c,"{""contentSha256"":""39a1181a47914891dbbbd627b4056749d2827d6bb26ffab5bb3d65b5c4dc7554"",""frozenAt"":""2026-09-19T21:38:59.9737871+08:00""}"
eccd622f30bd4972bb1371d103086434,2026-09-19T13:39:01.4909044+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_CONFIGURATION_ACTIVATION_ISSUED,ActiveSlotConfiguration,AGV-L2-001:bdcfddafc12d4c73a37589c9e1a2ed69,2,Succeeded,b3c4ad824e5347059c8a4c3aa28af540,"{""contentSha256"":""39a1181a47914891dbbbd627b4056749d2827d6bb26ffab5bb3d65b5c4dc7554"",""frozenAt"":""2026-09-19T13:39:01.4909044+00:00""}"
7b05e6dc2a034ccebac20470db053404,2026-09-19T13:39:01.7022745+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_CONFIGURATION_ACTIVATION_RESULT_RECORDED,ActiveSlotConfiguration,AGV-L2-001,2,Succeeded,b3c4ad824e5347059c8a4c3aa28af540,"{""activationId"":""279b0219-b2bc-4fb3-ad0b-16c86fe61655"",""deliveryClass"":""RELIABLE"",""recoveryRole"":""SLOT_CONFIGURATION"",""reasonCode"":null}"
