2026-09-19T02:27:36.5586533+08:00	Information	App	车载端启动：agvId=AGV-8005-STAGED-G3-01，environment=Development，version=0.2.0-safety-mock-travel+29fbf65e0b4d58c80849d5e6d0e44f40903c411e。
2026-09-19T02:27:37.1453895+08:00	Information	ModbusTcpIoModuleClient	已连接IO模块 127.0.0.1:1502，UnitId=255。
2026-09-19T02:27:37.1643663+08:00	Information	OnboardController	IO模块在线。
2026-09-19T02:27:37.1671032+08:00	Information	OnboardController	启动IO安全快照验证通过。
2026-09-19T02:27:37.5261495+08:00	Warning	WireToGateSessionService	上层会话不可用：ControlServer在会话恢复期间关闭了连接。。将在2秒后重连。
2026-09-19T02:27:39.6547817+08:00	Information	WireToGateSessionService	上层会话已建立：generation=2，readiness=RecoveryRequired。
2026-09-19T02:27:44.6634640+08:00	Warning	WireToGateSessionService	上层会话不可用：WIRE_TO_GATE会话尚未建立。。将在2秒后重连。
2026-09-19T02:27:46.7532091+08:00	Information	WireToGateSessionService	上层会话已建立：generation=3，readiness=RecoveryRequired。
2026-09-19T02:27:46.7773888+08:00	Error	WireToGateBusinessService	SafetyStateChanged发送失败，正在断开会话并以同一版本和内容重试。 | InvalidDataException: CORRELATION_INVALID
