auditRecordId,recordedAt,actorIdentity,actorAttribution,action,objectKind,objectId,version,outcome,snapshotId,detailJson
6e92dc333ec6496c908bd9bad1d72fea,2026-09-12T23:17:25.3228376+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_TEMPLATE_VERSION_PUBLISHED,SlotTemplate,8005-standard-slot,1,Succeeded,5d53cdd0e8164e6baa36d402b825a5f0,"{""contentSha256"":""0c0ae6b4594545f4024ba0aff8e43e812c3ac5718532101a1a89ad9d6a398add"",""frozenAt"":""2026-09-12T23:17:25.3228376+08:00""}"
96e3b813bb6545bdb458c9fc7566c495,2026-09-12T23:17:25.3228376+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_MODEL_VERSION_PUBLISHED,SlotModelVersion,8005-eight-slot,1,Succeeded,216b44d9a8c64b7c81bd0c5ab4dda827,"{""contentSha256"":""e469bb303de3314c40e42b5524f17277093f7c75ce6d98854561f72ef5b10830"",""frozenAt"":""2026-09-12T23:17:25.3228376+08:00""}"
c50df352f06c45618b921c2e5ef0c8e5,2026-09-12T23:17:26.9197368+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_IO_BINDING_VERSION_PUBLISHED,ActiveSlotConfiguration,AGV-L2-001:8ab983b570d74a9486ef359101440afb,1,Succeeded,ba0a6a8c98014db9af87945673a2e550,"{""contentSha256"":""39a1181a47914891dbbbd627b4056749d2827d6bb26ffab5bb3d65b5c4dc7554"",""frozenAt"":""2026-09-12T23:17:26.9197368+08:00""}"
aee845a13781445dae2d539dda5ae6d3,2026-09-12T15:17:28.4390807+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_CONFIGURATION_ACTIVATION_ISSUED,ActiveSlotConfiguration,AGV-L2-001:8ab983b570d74a9486ef359101440afb,2,Succeeded,75c3572a093746419a7f06ab1a3577da,"{""contentSha256"":""39a1181a47914891dbbbd627b4056749d2827d6bb26ffab5bb3d65b5c4dc7554"",""frozenAt"":""2026-09-12T15:17:28.4390807+00:00""}"
7df4ee43bd764cd4b78ca853a346cbc1,2026-09-12T15:17:28.7498131+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_CONFIGURATION_ACTIVATION_RESULT_RECORDED,ActiveSlotConfiguration,AGV-L2-001,2,Succeeded,75c3572a093746419a7f06ab1a3577da,"{""activationId"":""a2547a62-a93d-473c-99a1-05747fe5385a"",""deliveryClass"":""RELIABLE"",""recoveryRole"":""SLOT_CONFIGURATION"",""reasonCode"":null}"
