auditRecordId,recordedAt,actorIdentity,actorAttribution,action,objectKind,objectId,version,outcome,snapshotId,detailJson
7af775fc0e5843759414cb74ba8b5369,2026-09-19T13:38:37.5515325+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,TASK_TYPE_STATION_RULE_VERSION_LOADED,TaskTypeStationRule,task-type-station-rules,1,Succeeded,f77287b721c04b82a5571099db9cd979,"{""contentSha256"":""3e8211092cce6f8a76208a7c972c2e87eba697cba2c1fa31e7fb34ca42951100"",""frozenAt"":""2026-09-19T13:38:37.5515325+00:00""}"
ad013e7c409143c3a1edd3109d6304fe,2026-09-19T13:38:37.5515325+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,TASK_TYPE_STATION_BINDING_SET_VERSION_LOADED,PublicStationBinding,map-25,1,Succeeded,d75b135babfa411b8c7ccdc4f43cc0da,"{""contentSha256"":""21b4b7f663331518dd4e4453d29c051dcaa7ed08dfcc6f0ac9360d2a7e97c636"",""frozenAt"":""2026-09-19T13:38:37.5515325+00:00""}"
503aca0ff6074c72988907aa8c2ce24d,2026-09-19T21:38:39.8629962+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_MODEL_VERSION_PUBLISHED,SlotModelVersion,8005-eight-slot,1,Succeeded,53aa4db22c084e17a5d0615f5f9c353e,"{""contentSha256"":""649195eb4376dc54c74d1603b5fd14f6149e5f2c3cefda41e71952737840035f"",""frozenAt"":""2026-09-19T21:38:39.8629962+08:00""}"
9d5f6cf569d142a38f05f52aa75fd971,2026-09-19T21:38:39.8629962+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_TEMPLATE_VERSION_PUBLISHED,SlotTemplate,8005-standard-slot,1,Succeeded,535490a612ca47b2b20cf4c1dcf05df3,"{""contentSha256"":""0c0ae6b4594545f4024ba0aff8e43e812c3ac5718532101a1a89ad9d6a398add"",""frozenAt"":""2026-09-19T21:38:39.8629962+08:00""}"
7fafc2fbb9a24ca6a928a128dad6dab5,2026-09-19T21:38:41.4950469+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_IO_BINDING_VERSION_PUBLISHED,ActiveSlotConfiguration,AGV-L2-001:a14f08b842fc480ab56265ae104f26b9,1,Succeeded,4514458eea7942869a2af5ec31a7d043,"{""contentSha256"":""39a1181a47914891dbbbd627b4056749d2827d6bb26ffab5bb3d65b5c4dc7554"",""frozenAt"":""2026-09-19T21:38:41.4950469+08:00""}"
c928557ee039403186a28286f1333cea,2026-09-19T13:38:42.9944602+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_CONFIGURATION_ACTIVATION_ISSUED,ActiveSlotConfiguration,AGV-L2-001:a14f08b842fc480ab56265ae104f26b9,2,Succeeded,7042f85a23c8474a881d71fc9256d16a,"{""contentSha256"":""39a1181a47914891dbbbd627b4056749d2827d6bb26ffab5bb3d65b5c4dc7554"",""frozenAt"":""2026-09-19T13:38:42.9944602+00:00""}"
03a317f862e44cb8a5abb5d65827ead9,2026-09-19T13:38:43.2992680+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_CONFIGURATION_ACTIVATION_RESULT_RECORDED,ActiveSlotConfiguration,AGV-L2-001,2,Succeeded,7042f85a23c8474a881d71fc9256d16a,"{""activationId"":""0f43091d-978e-4f11-b48e-bcfe8ef2c7fc"",""deliveryClass"":""RELIABLE"",""recoveryRole"":""SLOT_CONFIGURATION"",""reasonCode"":null}"
