auditRecordId,recordedAt,actorIdentity,actorAttribution,action,objectKind,objectId,version,outcome,snapshotId,detailJson
2cdba89515884293913285bd8c13f5d2,2026-09-10T16:47:00.5981893+08:00,deployment:8005-controlserver@LAB-WIN-01,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_MODEL_VERSION_PUBLISHED,SlotModelVersion,8005-eight-slot,1,Succeeded,c704c59b54ef4eb199ecb0b610d54a3f,"{""contentSha256"":""e469bb303de3314c40e42b5524f17277093f7c75ce6d98854561f72ef5b10830"",""frozenAt"":""2026-09-10T16:47:00.5981893+08:00""}"
41274b3526754e05a9aca1cbb062cc0c,2026-09-10T16:47:00.5981893+08:00,deployment:8005-controlserver@LAB-WIN-01,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_TEMPLATE_VERSION_PUBLISHED,SlotTemplate,8005-standard-slot,1,Succeeded,3a41f13cb48346f8a5a08fec35884396,"{""contentSha256"":""0c0ae6b4594545f4024ba0aff8e43e812c3ac5718532101a1a89ad9d6a398add"",""frozenAt"":""2026-09-10T16:47:00.5981893+08:00""}"
3ee4d094aee74959ae8302aeb5489f98,2026-09-10T16:47:02.2794840+08:00,deployment:8005-controlserver@LAB-WIN-01,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_IO_BINDING_VERSION_PUBLISHED,ActiveSlotConfiguration,AGV-L2-001:555cdfc9acf9401c8547b3ca676216c6,1,Succeeded,8b5dbcafd2c4485784c8b3765c980f8f,"{""contentSha256"":""39a1181a47914891dbbbd627b4056749d2827d6bb26ffab5bb3d65b5c4dc7554"",""frozenAt"":""2026-09-10T16:47:02.2794840+08:00""}"
251c8aad2fa94ec0b4dbdc121e8b9bb9,2026-09-10T08:47:03.4777008+00:00,deployment:8005-controlserver@LAB-WIN-01,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_CONFIGURATION_ACTIVATION_ISSUED,ActiveSlotConfiguration,AGV-L2-001:555cdfc9acf9401c8547b3ca676216c6,2,Succeeded,566e1100c6db4fd5b9a0d4b756fc3c45,"{""contentSha256"":""39a1181a47914891dbbbd627b4056749d2827d6bb26ffab5bb3d65b5c4dc7554"",""frozenAt"":""2026-09-10T08:47:03.4777008+00:00""}"
ad7359ae550448ceb45cbadda88b7ae1,2026-09-10T08:47:03.7140945+00:00,deployment:8005-controlserver@LAB-WIN-01,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_CONFIGURATION_ACTIVATION_RESULT_RECORDED,ActiveSlotConfiguration,AGV-L2-001,2,Succeeded,566e1100c6db4fd5b9a0d4b756fc3c45,"{""activationId"":""4b154664-9d22-471f-a263-54fdbdc626c8"",""deliveryClass"":""RELIABLE"",""recoveryRole"":""SLOT_CONFIGURATION"",""reasonCode"":null}"
