auditRecordId,recordedAt,actorIdentity,actorAttribution,action,objectKind,objectId,version,outcome,snapshotId,detailJson
a24e3c4bcf954536b6aa2bf52202c6b8,2026-09-19T13:39:13.3937013+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,TASK_TYPE_STATION_BINDING_SET_VERSION_LOADED,PublicStationBinding,map-25,1,Succeeded,6cb6300707a24ed3bdb4260cc5250fca,"{""contentSha256"":""21b4b7f663331518dd4e4453d29c051dcaa7ed08dfcc6f0ac9360d2a7e97c636"",""frozenAt"":""2026-09-19T13:39:13.3937013+00:00""}"
ab41c888031149c5b22e14f2078228e6,2026-09-19T13:39:13.3937013+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,TASK_TYPE_STATION_RULE_VERSION_LOADED,TaskTypeStationRule,task-type-station-rules,1,Succeeded,a32125b885d94f9ab0ba1fa5135a0b88,"{""contentSha256"":""3e8211092cce6f8a76208a7c972c2e87eba697cba2c1fa31e7fb34ca42951100"",""frozenAt"":""2026-09-19T13:39:13.3937013+00:00""}"
1cbac233fba9474d83d029a4de75e921,2026-09-19T21:39:15.7319478+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_TEMPLATE_VERSION_PUBLISHED,SlotTemplate,8005-standard-slot,1,Succeeded,74b456b63d594b399527669f2fda5d76,"{""contentSha256"":""0c0ae6b4594545f4024ba0aff8e43e812c3ac5718532101a1a89ad9d6a398add"",""frozenAt"":""2026-09-19T21:39:15.7319478+08:00""}"
1e19f3e2d5ff4df19aea0e24499c01a6,2026-09-19T21:39:15.7319478+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_MODEL_VERSION_PUBLISHED,SlotModelVersion,8005-eight-slot,1,Succeeded,71e368daafc94341bfe7614393067eb7,"{""contentSha256"":""649195eb4376dc54c74d1603b5fd14f6149e5f2c3cefda41e71952737840035f"",""frozenAt"":""2026-09-19T21:39:15.7319478+08:00""}"
57abefbb87b942b4a786a63721d232dc,2026-09-19T21:39:17.3143740+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_IO_BINDING_VERSION_PUBLISHED,ActiveSlotConfiguration,AGV-L2-001:d94e6e44f805450294ab4ad96ff8fdc9,1,Succeeded,beeb4171cd4a4c50beaa3a8865f5b1a8,"{""contentSha256"":""39a1181a47914891dbbbd627b4056749d2827d6bb26ffab5bb3d65b5c4dc7554"",""frozenAt"":""2026-09-19T21:39:17.3143740+08:00""}"
b04048b8a25e43fea5c18f0c82fc8000,2026-09-19T13:39:18.7951045+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_CONFIGURATION_ACTIVATION_ISSUED,ActiveSlotConfiguration,AGV-L2-001:d94e6e44f805450294ab4ad96ff8fdc9,2,Succeeded,f89cbf941fd549388e86d6ea0997e3ae,"{""contentSha256"":""39a1181a47914891dbbbd627b4056749d2827d6bb26ffab5bb3d65b5c4dc7554"",""frozenAt"":""2026-09-19T13:39:18.7951045+00:00""}"
5c68c4b42cc740c0b3469abf23cb7278,2026-09-19T13:39:18.9966002+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_CONFIGURATION_ACTIVATION_RESULT_RECORDED,ActiveSlotConfiguration,AGV-L2-001,2,Succeeded,f89cbf941fd549388e86d6ea0997e3ae,"{""activationId"":""8424ef07-f305-4e75-a396-0e2ea5f9a59a"",""deliveryClass"":""RELIABLE"",""recoveryRole"":""SLOT_CONFIGURATION"",""reasonCode"":null}"
