auditRecordId,recordedAt,actorIdentity,actorAttribution,action,objectKind,objectId,version,outcome,snapshotId,detailJson
0520a11517c941f29ca824ca95dbc494,2026-09-10T18:06:26.1148926+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_MODEL_VERSION_PUBLISHED,SlotModelVersion,8005-eight-slot,1,Succeeded,5ceaadada6324338b262bfa0af46d93f,"{""contentSha256"":""e469bb303de3314c40e42b5524f17277093f7c75ce6d98854561f72ef5b10830"",""frozenAt"":""2026-09-10T18:06:26.1148926+08:00""}"
5ee55d0666d5425ba7a72c0d9def9582,2026-09-10T18:06:26.1148926+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_TEMPLATE_VERSION_PUBLISHED,SlotTemplate,8005-standard-slot,1,Succeeded,6323ffb8fc6d497da03eb3a3f55c7c2f,"{""contentSha256"":""0c0ae6b4594545f4024ba0aff8e43e812c3ac5718532101a1a89ad9d6a398add"",""frozenAt"":""2026-09-10T18:06:26.1148926+08:00""}"
843b08e7e5394328a71e95b423076003,2026-09-10T18:06:27.6842334+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_IO_BINDING_VERSION_PUBLISHED,ActiveSlotConfiguration,AGV-L2-001:2266b1109b9a44c8b194382479d54bc3,1,Succeeded,406b1f86cd4442b8bb3f22c32143c9a4,"{""contentSha256"":""39a1181a47914891dbbbd627b4056749d2827d6bb26ffab5bb3d65b5c4dc7554"",""frozenAt"":""2026-09-10T18:06:27.6842334+08:00""}"
9932b8c77d1445ba8d6b6c68740c8b44,2026-09-10T10:06:29.1946114+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_CONFIGURATION_ACTIVATION_ISSUED,ActiveSlotConfiguration,AGV-L2-001:2266b1109b9a44c8b194382479d54bc3,2,Succeeded,93b2ac308b6c47d78c47a6cf4666a888,"{""contentSha256"":""39a1181a47914891dbbbd627b4056749d2827d6bb26ffab5bb3d65b5c4dc7554"",""frozenAt"":""2026-09-10T10:06:29.1946114+00:00""}"
aee38a33709c43f6b2a48dce908962ea,2026-09-10T10:06:29.4660070+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_CONFIGURATION_ACTIVATION_RESULT_RECORDED,ActiveSlotConfiguration,AGV-L2-001,2,Succeeded,93b2ac308b6c47d78c47a6cf4666a888,"{""activationId"":""5e8cd007-c543-4e78-9849-b1da00fecf61"",""deliveryClass"":""RELIABLE"",""recoveryRole"":""SLOT_CONFIGURATION"",""reasonCode"":null}"
