utc,committedGiB,limitGiB
2026-09-22T07:49:44.3408841Z,7.75,16.00
2026-09-22T07:49:46.6637612Z,7.86,16.00
2026-09-22T07:49:48.9702304Z,8.40,16.00
2026-09-22T07:49:51.2534007Z,7.65,16.00
2026-09-22T07:49:53.5624416Z,7.89,16.00
2026-09-22T07:49:55.9130478Z,8.41,16.00
2026-09-22T07:49:58.2404785Z,8.77,16.00
2026-09-22T07:50:00.5239325Z,8.18,16.00
2026-09-22T07:50:02.8162404Z,8.48,16.00
2026-09-22T07:50:05.1232346Z,8.01,16.00
2026-09-22T07:50:07.4279639Z,7.78,16.00
2026-09-22T07:50:09.7402563Z,8.09,16.00
2026-09-22T07:50:12.0361636Z,8.38,16.00
2026-09-22T07:50:14.3432326Z,8.71,16.00
2026-09-22T07:50:16.6484936Z,8.89,16.00
2026-09-22T07:50:18.9281575Z,9.17,16.00
2026-09-22T07:50:21.2486813Z,8.90,16.00
2026-09-22T07:50:23.5591866Z,6.84,16.00
2026-09-22T07:50:25.8686101Z,6.96,16.00
2026-09-22T07:50:28.1788721Z,6.75,16.00
2026-09-22T07:50:30.4858148Z,7.04,16.00
2026-09-22T07:50:32.7769119Z,7.22,16.00
2026-09-22T07:50:35.0698266Z,7.23,16.00
2026-09-22T07:50:37.3748464Z,7.29,16.00
2026-09-22T07:50:39.6789793Z,6.67,16.00
2026-09-22T07:50:41.9911747Z,6.32,16.00
2026-09-22T07:50:44.3004430Z,6.34,16.00
2026-09-22T07:50:46.6156670Z,6.41,16.00
2026-09-22T07:50:48.9101115Z,6.28,16.00
2026-09-22T07:50:51.2101614Z,6.82,16.00
2026-09-22T07:50:53.5083627Z,6.85,16.00
2026-09-22T07:50:55.8078311Z,7.01,16.00
2026-09-22T07:50:58.0956527Z,7.12,16.00
2026-09-22T07:51:00.3887434Z,7.25,16.00
2026-09-22T07:51:02.6882309Z,7.29,16.00
2026-09-22T07:51:04.9880129Z,7.27,16.00
2026-09-22T07:51:07.3004823Z,7.29,16.00
2026-09-22T07:51:09.6486940Z,7.29,16.00
2026-09-22T07:51:11.9613578Z,7.34,16.00
2026-09-22T07:51:14.2540559Z,6.78,16.00
2026-09-22T07:51:16.5645720Z,7.03,16.00
2026-09-22T07:51:18.8795442Z,7.17,16.00
2026-09-22T07:51:21.1903104Z,7.11,16.00
2026-09-22T07:51:23.4834096Z,7.25,16.00
2026-09-22T07:51:25.7857182Z,7.02,16.00
2026-09-22T07:51:28.0958186Z,7.17,16.00
2026-09-22T07:51:30.4060865Z,7.14,16.00
2026-09-22T07:51:32.7157538Z,7.22,16.00
2026-09-22T07:51:35.0227646Z,7.49,16.00
2026-09-22T07:51:37.3382312Z,7.52,16.00
2026-09-22T07:51:39.6524063Z,7.59,16.00
2026-09-22T07:51:41.9431514Z,6.41,16.00
2026-09-22T07:51:44.2489703Z,6.68,16.00
2026-09-22T07:51:46.5592995Z,6.91,16.00
2026-09-22T07:51:48.8708237Z,6.94,16.00
2026-09-22T07:51:51.1769181Z,7.17,16.00
2026-09-22T07:51:53.4753386Z,7.11,16.00
2026-09-22T07:51:55.7814594Z,7.28,16.00
2026-09-22T07:51:58.0929158Z,7.42,16.00
2026-09-22T07:52:00.4014607Z,7.55,16.00
2026-09-22T07:52:02.6968404Z,7.50,16.00
2026-09-22T07:52:04.9973665Z,7.55,16.00
2026-09-22T07:52:07.3041328Z,7.11,16.00
2026-09-22T07:52:09.6003466Z,6.91,16.00
2026-09-22T07:52:11.8982949Z,6.65,16.00
2026-09-22T07:52:14.2025724Z,6.75,16.00
2026-09-22T07:52:16.5100002Z,6.37,16.00
2026-09-22T07:52:18.8111321Z,6.75,16.00
2026-09-22T07:52:21.1140766Z,7.02,16.00
2026-09-22T07:52:23.3975221Z,7.17,16.00
2026-09-22T07:52:25.7036741Z,7.10,16.00
2026-09-22T07:52:28.0109121Z,6.80,16.00
2026-09-22T07:52:30.3082061Z,7.14,16.00
2026-09-22T07:52:32.6173659Z,7.30,16.00
2026-09-22T07:52:34.9247702Z,7.23,16.00
2026-09-22T07:52:37.2385464Z,7.38,16.00
2026-09-22T07:52:39.5476004Z,7.44,16.00
2026-09-22T07:52:41.8628769Z,7.50,16.00
2026-09-22T07:52:44.1755027Z,7.50,16.00
2026-09-22T07:52:46.4834038Z,7.05,16.00
2026-09-22T07:52:48.7952119Z,7.29,16.00
2026-09-22T07:52:51.0956296Z,6.95,16.00
2026-09-22T07:52:53.3814916Z,7.11,16.00
2026-09-22T07:52:55.6962061Z,7.38,16.00
2026-09-22T07:52:57.9964689Z,6.54,16.00
2026-09-22T07:53:00.3137808Z,6.88,16.00
2026-09-22T07:53:02.6204739Z,7.13,16.00
2026-09-22T07:53:04.8898154Z,6.63,16.00
2026-09-22T07:53:07.2030124Z,6.91,16.00
2026-09-22T07:53:09.5070357Z,7.10,16.00
2026-09-22T07:53:11.8193347Z,7.08,16.00
2026-09-22T07:53:14.1192333Z,6.57,16.00
2026-09-22T07:53:16.4235820Z,7.00,16.00
2026-09-22T07:53:18.7254812Z,6.63,16.00
2026-09-22T07:53:21.0124850Z,6.73,16.00
2026-09-22T07:53:23.3147757Z,7.08,16.00
2026-09-22T07:53:25.6095623Z,7.15,16.00
2026-09-22T07:53:27.9018664Z,7.27,16.00
2026-09-22T07:53:30.2187859Z,7.42,16.00
2026-09-22T07:53:32.5190269Z,7.37,16.00
2026-09-22T07:53:34.8184743Z,7.41,16.00
2026-09-22T07:53:37.1248394Z,6.89,16.00
2026-09-22T07:53:39.4380616Z,6.40,16.00
2026-09-22T07:53:41.7502910Z,6.34,16.00
2026-09-22T07:53:44.0605006Z,6.06,16.00
2026-09-22T07:53:46.3752458Z,6.34,16.00
2026-09-22T07:53:48.6827141Z,6.41,16.00
2026-09-22T07:53:50.9936352Z,6.78,16.00
2026-09-22T07:53:53.2970951Z,7.06,16.00
2026-09-22T07:53:55.5948402Z,7.13,16.00
2026-09-22T07:53:57.8879069Z,6.64,16.00
2026-09-22T07:54:00.1827703Z,6.35,16.00
2026-09-22T07:54:02.4995347Z,6.19,16.00
2026-09-22T07:54:04.8100279Z,6.34,16.00
2026-09-22T07:54:07.0929802Z,6.73,16.00
2026-09-22T07:54:09.4048925Z,6.91,16.00
2026-09-22T07:54:11.7148382Z,7.08,16.00
2026-09-22T07:54:14.0323506Z,7.14,16.00
2026-09-22T07:54:16.3435374Z,7.17,16.00
2026-09-22T07:54:18.6475841Z,7.18,16.00
2026-09-22T07:54:20.9658318Z,7.26,16.00
2026-09-22T07:54:23.2825013Z,7.30,16.00
2026-09-22T07:54:25.5907040Z,7.30,16.00
2026-09-22T07:54:27.8929917Z,7.31,16.00
2026-09-22T07:54:30.2108059Z,7.33,16.00
2026-09-22T07:54:32.5256513Z,7.35,16.00
2026-09-22T07:54:34.8454938Z,7.39,16.00
2026-09-22T07:54:37.1531085Z,7.42,16.00
2026-09-22T07:54:39.4519403Z,7.00,16.00
2026-09-22T07:54:41.7687660Z,7.15,16.00
2026-09-22T07:54:44.0819519Z,7.06,16.00
2026-09-22T07:54:46.3923420Z,7.20,16.00
2026-09-22T07:54:48.7114264Z,7.38,16.00
2026-09-22T07:54:51.0278285Z,6.88,16.00
2026-09-22T07:54:53.3401710Z,7.16,16.00
2026-09-22T07:54:55.6454562Z,7.28,16.00
2026-09-22T07:54:57.9351047Z,7.25,16.00
2026-09-22T07:55:00.2509729Z,7.39,16.00
2026-09-22T07:55:02.5621719Z,7.45,16.00
2026-09-22T07:55:04.8469785Z,7.50,16.00
2026-09-22T07:55:07.1580747Z,7.48,16.00
2026-09-22T07:55:09.4552357Z,7.53,16.00
2026-09-22T07:55:11.7592683Z,7.02,16.00
2026-09-22T07:55:14.0774845Z,7.18,16.00
2026-09-22T07:55:16.3941824Z,7.12,16.00
2026-09-22T07:55:18.7110056Z,7.23,16.00
2026-09-22T07:55:21.0150049Z,6.64,16.00
2026-09-22T07:55:23.3156405Z,6.84,16.00
2026-09-22T07:55:25.6221448Z,7.04,16.00
2026-09-22T07:55:27.9241848Z,7.09,16.00
2026-09-22T07:55:30.2353947Z,7.04,16.00
2026-09-22T07:55:32.5414757Z,6.51,16.00
2026-09-22T07:55:34.8435726Z,6.33,16.00
2026-09-22T07:55:37.1483180Z,6.84,16.00
2026-09-22T07:55:39.4569750Z,6.92,16.00
2026-09-22T07:55:41.7671025Z,6.91,16.00
2026-09-22T07:55:44.0720928Z,7.04,16.00
2026-09-22T07:55:46.3822958Z,6.82,16.00
2026-09-22T07:55:48.6992257Z,7.03,16.00
2026-09-22T07:55:51.0103565Z,6.97,16.00
2026-09-22T07:55:53.3241483Z,7.11,16.00
2026-09-22T07:55:55.6533832Z,7.26,16.00
2026-09-22T07:55:57.9627175Z,7.25,16.00
2026-09-22T07:56:00.2783448Z,7.23,16.00
2026-09-22T07:56:02.5800356Z,7.30,16.00
2026-09-22T07:56:04.8946047Z,7.35,16.00
2026-09-22T07:56:07.2162927Z,7.39,16.00
2026-09-22T07:56:09.5201111Z,7.42,16.00
2026-09-22T07:56:11.8183399Z,7.44,16.00
2026-09-22T07:56:14.1214638Z,7.07,16.00
2026-09-22T07:56:16.4301311Z,7.24,16.00
2026-09-22T07:56:18.7319594Z,7.18,16.00
2026-09-22T07:56:21.0386805Z,6.54,16.00
2026-09-22T07:56:23.3391948Z,6.94,16.00
2026-09-22T07:56:25.6540242Z,7.16,16.00
2026-09-22T07:56:27.9541435Z,7.08,16.00
2026-09-22T07:56:30.2626340Z,6.79,16.00
2026-09-22T07:56:32.5605354Z,7.15,16.00
2026-09-22T07:56:34.8693892Z,7.15,16.00
2026-09-22T07:56:37.1823889Z,6.51,16.00
2026-09-22T07:56:39.4904933Z,6.75,16.00
2026-09-22T07:56:41.7736137Z,6.54,16.00
2026-09-22T07:56:44.0793341Z,6.83,16.00
2026-09-22T07:56:46.3790106Z,6.84,16.00
2026-09-22T07:56:48.6866130Z,6.85,16.00
2026-09-22T07:56:50.9968470Z,7.16,16.00
2026-09-22T07:56:53.2805207Z,7.30,16.00
2026-09-22T07:56:55.5930838Z,7.42,16.00
2026-09-22T07:56:57.8774478Z,6.99,16.00
2026-09-22T07:57:00.1752171Z,7.19,16.00
2026-09-22T07:57:02.4766938Z,6.62,16.00
2026-09-22T07:57:04.7743267Z,6.95,16.00
2026-09-22T07:57:07.0776010Z,6.96,16.00
2026-09-22T07:57:09.3868933Z,6.77,16.00
2026-09-22T07:57:11.6986909Z,7.10,16.00
2026-09-22T07:57:13.9973371Z,7.01,16.00
2026-09-22T07:57:16.2902788Z,7.19,16.00
2026-09-22T07:57:18.5863541Z,7.35,16.00
2026-09-22T07:57:20.8855138Z,7.43,16.00
2026-09-22T07:57:23.1809731Z,7.48,16.00
2026-09-22T07:57:25.4778390Z,6.14,16.00
2026-09-22T07:57:27.7836721Z,6.60,16.00
2026-09-22T07:57:30.0799184Z,6.91,16.00
2026-09-22T07:57:32.3595735Z,6.58,16.00
2026-09-22T07:57:34.6621120Z,6.24,16.00
