auditRecordId,recordedAt,actorIdentity,actorAttribution,action,objectKind,objectId,version,outcome,snapshotId,detailJson
a6072eeceb5f4298bd5e3ea920d3ec02,2026-09-12T19:20:20.3908200+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_TEMPLATE_VERSION_PUBLISHED,SlotTemplate,8005-standard-slot,1,Succeeded,80d6f84c85c345e3ab18151a6983553f,"{""contentSha256"":""0c0ae6b4594545f4024ba0aff8e43e812c3ac5718532101a1a89ad9d6a398add"",""frozenAt"":""2026-09-12T19:20:20.3908200+08:00""}"
f9cd9e2eff8c46548a5a5f75ea8603f8,2026-09-12T19:20:20.3908200+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_MODEL_VERSION_PUBLISHED,SlotModelVersion,8005-eight-slot,1,Succeeded,54f1b416e7b7471e967900889680626f,"{""contentSha256"":""e469bb303de3314c40e42b5524f17277093f7c75ce6d98854561f72ef5b10830"",""frozenAt"":""2026-09-12T19:20:20.3908200+08:00""}"
4a4badf8fac04af7827b6290dc3df45d,2026-09-12T19:20:22.2697004+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_IO_BINDING_VERSION_PUBLISHED,ActiveSlotConfiguration,AGV-L2-001:422c78bf87ed4657ada691f9871c0e3a,1,Succeeded,604014ad5e8545f3b46f0c49a5b7089a,"{""contentSha256"":""39a1181a47914891dbbbd627b4056749d2827d6bb26ffab5bb3d65b5c4dc7554"",""frozenAt"":""2026-09-12T19:20:22.2697004+08:00""}"
dc0ffa6219a243e69ccf21ae9d32f425,2026-09-12T11:20:23.7159877+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_CONFIGURATION_ACTIVATION_ISSUED,ActiveSlotConfiguration,AGV-L2-001:422c78bf87ed4657ada691f9871c0e3a,2,Succeeded,ba5f0c2bb09646c4b33d02c14b18a85f,"{""contentSha256"":""39a1181a47914891dbbbd627b4056749d2827d6bb26ffab5bb3d65b5c4dc7554"",""frozenAt"":""2026-09-12T11:20:23.7159877+00:00""}"
77ab1a27beeb4d62a7a524f5f3c92bd4,2026-09-12T11:20:24.0488767+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_CONFIGURATION_ACTIVATION_RESULT_RECORDED,ActiveSlotConfiguration,AGV-L2-001,2,Succeeded,ba5f0c2bb09646c4b33d02c14b18a85f,"{""activationId"":""b2066154-0b1c-4c3f-87ee-6178cd4d6ced"",""deliveryClass"":""RELIABLE"",""recoveryRole"":""SLOT_CONFIGURATION"",""reasonCode"":null}"
