auditRecordId,recordedAt,actorIdentity,actorAttribution,action,objectKind,objectId,version,outcome,snapshotId,detailJson
22f6a9c5947542409a18cf6a208019b4,2026-09-18T23:27:55.7974364+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_MODEL_VERSION_PUBLISHED,SlotModelVersion,8005-eight-slot,1,Succeeded,6c96183d88df46908120102c8fa3e7ae,"{""contentSha256"":""649195eb4376dc54c74d1603b5fd14f6149e5f2c3cefda41e71952737840035f"",""frozenAt"":""2026-09-18T23:27:55.7974364+08:00""}"
ed3db21392a94b98b62b4c509a7af3c5,2026-09-18T23:27:55.7974364+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_TEMPLATE_VERSION_PUBLISHED,SlotTemplate,8005-standard-slot,1,Succeeded,7be3bcf8147645b5a7007aadf3c3973b,"{""contentSha256"":""0c0ae6b4594545f4024ba0aff8e43e812c3ac5718532101a1a89ad9d6a398add"",""frozenAt"":""2026-09-18T23:27:55.7974364+08:00""}"
7f3077cf24664d6e82856861cab30c1f,2026-09-18T23:27:57.4585394+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_IO_BINDING_VERSION_PUBLISHED,ActiveSlotConfiguration,AGV-L2-001:db41f0ae035049fc8d1e70def74506ad,1,Succeeded,89e9fc4b13034d779a85150fab765c20,"{""contentSha256"":""39a1181a47914891dbbbd627b4056749d2827d6bb26ffab5bb3d65b5c4dc7554"",""frozenAt"":""2026-09-18T23:27:57.4585394+08:00""}"
c271f1a226654b3499d4ece8c9210a44,2026-09-18T15:27:58.9047642+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_CONFIGURATION_ACTIVATION_ISSUED,ActiveSlotConfiguration,AGV-L2-001:db41f0ae035049fc8d1e70def74506ad,2,Succeeded,97453d7d31ed4b089d3bdda41d5b225b,"{""contentSha256"":""39a1181a47914891dbbbd627b4056749d2827d6bb26ffab5bb3d65b5c4dc7554"",""frozenAt"":""2026-09-18T15:27:58.9047642+00:00""}"
a69592e8c679424a814e4ef51c762491,2026-09-18T15:27:59.1804569+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_CONFIGURATION_ACTIVATION_RESULT_RECORDED,ActiveSlotConfiguration,AGV-L2-001,2,Succeeded,97453d7d31ed4b089d3bdda41d5b225b,"{""activationId"":""18577483-93c4-4af2-b93d-a098793827d8"",""deliveryClass"":""RELIABLE"",""recoveryRole"":""SLOT_CONFIGURATION"",""reasonCode"":null}"
