auditRecordId,recordedAt,actorIdentity,actorAttribution,action,objectKind,objectId,version,outcome,snapshotId,detailJson
79f718fc5dcf4233a28b9b62574e6b6d,2026-09-22T08:08:54.1850286+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,TASK_TYPE_STATION_BINDING_SET_VERSION_LOADED,PublicStationBinding,map-25,1,Succeeded,3a4f7e66328e475a95309aa0db289d82,"{""contentSha256"":""21b4b7f663331518dd4e4453d29c051dcaa7ed08dfcc6f0ac9360d2a7e97c636"",""frozenAt"":""2026-09-22T08:08:54.1850286+00:00""}"
efece58d558f4ba88e740bb43ee8ef0a,2026-09-22T08:08:54.1850286+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,TASK_TYPE_STATION_RULE_VERSION_LOADED,TaskTypeStationRule,task-type-station-rules,1,Succeeded,4e96c39b952d4fbd8fe0da1733d38a75,"{""contentSha256"":""3e8211092cce6f8a76208a7c972c2e87eba697cba2c1fa31e7fb34ca42951100"",""frozenAt"":""2026-09-22T08:08:54.1850286+00:00""}"
00bfe8a93a72427fb3fa35f41836179b,2026-09-22T16:08:56.9321997+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_TEMPLATE_VERSION_PUBLISHED,SlotTemplate,8005-standard-slot,1,Succeeded,39caa12b03c74cdc9efc5d95b8fb0e20,"{""contentSha256"":""0c0ae6b4594545f4024ba0aff8e43e812c3ac5718532101a1a89ad9d6a398add"",""frozenAt"":""2026-09-22T16:08:56.9321997+08:00""}"
0e5d5933f0544d50af01571a929632f6,2026-09-22T16:08:56.9321997+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_MODEL_VERSION_PUBLISHED,SlotModelVersion,8005-eight-slot,1,Succeeded,5c9b69ca69a74750baa536fc35cb27fc,"{""contentSha256"":""649195eb4376dc54c74d1603b5fd14f6149e5f2c3cefda41e71952737840035f"",""frozenAt"":""2026-09-22T16:08:56.9321997+08:00""}"
2a6bad0e87b84f47b3b4d8da27d3d4c4,2026-09-22T16:08:58.6286045+08:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_IO_BINDING_VERSION_PUBLISHED,ActiveSlotConfiguration,AGV-L2-001:af687d8553144ec592873d6a18bdd0e4,1,Succeeded,24416038ae5740ddb40488fceafd0fae,"{""contentSha256"":""39a1181a47914891dbbbd627b4056749d2827d6bb26ffab5bb3d65b5c4dc7554"",""frozenAt"":""2026-09-22T16:08:58.6286045+08:00""}"
c318b641f67245298c84a96a9d09efd5,2026-09-22T08:09:00.1490410+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_CONFIGURATION_ACTIVATION_ISSUED,ActiveSlotConfiguration,AGV-L2-001:af687d8553144ec592873d6a18bdd0e4,2,Succeeded,bc94278229a5410ebb805999b88eda1d,"{""contentSha256"":""39a1181a47914891dbbbd627b4056749d2827d6bb26ffab5bb3d65b5c4dc7554"",""frozenAt"":""2026-09-22T08:09:00.1490410+00:00""}"
2ab10dd0f3d2439ba417be71989d3227,2026-09-22T08:09:00.3906795+00:00,deployment:8005-controlserver@DESKTOP-F9HC40O,NOT_ATTRIBUTABLE_TO_NATURAL_PERSON,SLOT_CONFIGURATION_ACTIVATION_RESULT_RECORDED,ActiveSlotConfiguration,AGV-L2-001,2,Succeeded,bc94278229a5410ebb805999b88eda1d,"{""activationId"":""a87cd590-7149-4e19-b37b-27249034a37f"",""deliveryClass"":""RELIABLE"",""recoveryRole"":""SLOT_CONFIGURATION"",""reasonCode"":null}"
