2026-09-22T15:52:29.2375255+08:00	Information	SingleInstanceGuard	抢到了整机单例名字。名字=Global\SQCD.Agv.Wpf.Onboard。
2026-09-22T15:52:29.2951163+08:00	Information	App	车载端启动：agvId=AGV-L2-001，environment=Development，version=0.2.0-safety-mock-travel+86d42ce5362a8273525b8ba1acb387e4331bcfed。
2026-09-22T15:52:29.9183771+08:00	Information	ModbusTcpIoModuleClient	已连接IO模块 127.0.0.1:48412，UnitId=255。
2026-09-22T15:52:29.9382652+08:00	Information	OnboardController	IO模块在线。
2026-09-22T15:52:29.9395315+08:00	Information	OnboardController	启动IO安全快照验证通过。
2026-09-22T15:52:31.0239011+08:00	Information	WireToGateSessionService	上层会话已建立：generation=1，readiness=Ready。
2026-09-22T15:52:41.3764961+08:00	Information	App	服务端请求录入Sublot：station=N1-3_N1-7，revision=1，expectedSublots=L2-DC-20260922T075216542Z。 
2026-09-22T15:52:42.1677815+08:00	Information	App	服务端请求录入Sublot：station=N1-3_N1-7，revision=1，expectedSublots=L2-DC-20260922T075216542Z。 
2026-09-22T15:52:43.1537426+08:00	Information	ModbusTcpIoModuleClient	已向物理1号仓发送开锁脉冲触发，DO地址=100。硬件负责自动复位。 
2026-09-22T15:52:43.2135549+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->1，锁DI 1->1，光幕DI 1->1。
2026-09-22T15:52:43.4202846+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->1，锁DI 1->0，光幕DI 1->1。
2026-09-22T15:52:43.6615195+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->0，锁DI 0->0，光幕DI 1->1。
2026-09-22T15:52:44.0383281+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:52:44.9413788+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->0，锁DI 0->1，光幕DI 1->1。
2026-09-22T15:52:45.3447946+08:00	Information	ModbusTcpIoModuleClient	已向物理1号仓发送开锁脉冲触发，DO地址=100。硬件负责自动复位。 
2026-09-22T15:52:45.4065859+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->1，锁DI 1->1，光幕DI 1->1。
2026-09-22T15:52:45.5652293+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->1，锁DI 1->0，光幕DI 1->1。
2026-09-22T15:52:45.8965449+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->0，锁DI 0->0，光幕DI 1->1。
2026-09-22T15:52:46.0354900+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:52:46.4108665+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:52:47.4276583+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:52:48.4007806+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:52:50.1176111+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:52:51.9371920+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:52:52.3107096+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:52:52.5206023+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:52:53.4560267+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:52:54.7230555+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:52:55.7376706+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:52:56.7951176+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:52:57.4248167+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:52:58.4626925+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:52:59.4146460+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:00.4556271+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:01.4100354+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:02.8588959+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:03.8732722+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:04.8787801+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:05.4734217+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:06.4436018+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:07.4323710+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:08.6118730+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:09.9467081+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:10.9264369+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:11.4194174+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:12.4261455+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:13.5727948+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:14.8298944+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:15.4399203+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:16.4265611+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:17.4865559+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:18.7507956+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:19.4037931+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:20.4493155+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:21.4164511+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:22.4554666+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:22.5126295+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->0，锁DI 0->1，光幕DI 1->1。
2026-09-22T15:53:23.3751994+08:00	Information	ModbusTcpIoModuleClient	已向物理1号仓发送开锁脉冲触发，DO地址=100。硬件负责自动复位。 
2026-09-22T15:53:23.4001682+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->1，锁DI 1->1，光幕DI 1->1。
2026-09-22T15:53:23.5585666+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->1，锁DI 1->0，光幕DI 1->1。
2026-09-22T15:53:23.8764237+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->0，锁DI 0->0，光幕DI 1->1。
2026-09-22T15:53:24.2544624+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:25.2034420+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:25.2065876+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->0，锁DI 0->1，光幕DI 1->1。
2026-09-22T15:53:25.4394681+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:25.9203202+08:00	Information	ModbusTcpIoModuleClient	已向物理1号仓发送开锁脉冲触发，DO地址=100。硬件负责自动复位。 
2026-09-22T15:53:25.9503056+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->1，锁DI 1->1，光幕DI 1->1。
2026-09-22T15:53:26.1091369+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->1，锁DI 1->0，光幕DI 1->1。
2026-09-22T15:53:26.4423955+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->0，锁DI 0->0，光幕DI 1->1。
2026-09-22T15:53:26.6734781+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:28.0525651+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:28.9539044+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:29.4055144+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:30.2398651+08:00	Information	WireToGateBusinessService	装货已被授权的装货取消中止，不上报OperationResult：attempt=501dbfa1-de53-6b5b-914f-85364e923061。
2026-09-22T15:53:30.5474543+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->0，锁DI 0->1，光幕DI 1->1。
2026-09-22T15:53:30.9122190+08:00	Information	WireToGateBusinessService	忽略重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061已开始且未结算，或已由装货取消接手，未再次执行仓门IO。
2026-09-22T15:53:32.0194580+08:00	Information	WireToGateBusinessService	忽略重复SlotOperationCommand：attempt=501dbfa1-de53-6b5b-914f-85364e923061已开始且未结算，或已由装货取消接手，未再次执行仓门IO。
